INCIDENT,PENALTY,VICTIM,SCORE,LOCATION,COUNTRY,DATE,WHEN,MOON_NIGHT_BEFORE
scratch,Red Card,referee,Draw at a time,his team penalty area,Uruguay,1996-05-24,65,Full
kick in the butt,Suspended for several games,forward,Winning,his team penalty area,Uruguay,1996-05-27,16,No Moon
spit in the face,yellow card,spectator,Draw at a time,off field,Uruguay,1996-06-03,87,No Moon
kick in the butt,Suspended for several games,journalist,Losing,off field,Uruguay,1996-06-07,73,Full
kick in the butt,Yellow card,None,Winning,opponent team penalty area,Uruguay,1996-06-13,75,No Moon
finger in the eye,Red Card,forward,Losing,midfield,Uruguay,1996-06-17,55,Full
bite,Not Caught,forward,Losing,off field,Uruguay,1996-06-17,5,Half
scratch,Red Card,journalist,Winning,off field,Uruguay,1996-06-25,74,Full
scratch,Yellow card,forward,Draw at a time,midfield,Uruguay,1996-06-28,50,Half
scratch,Red Card,goalkeeper,Draw at a time,opponent team penalty area,Uruguay,1996-06-29,37,Full
none,None,None,Winning,No location,Uruguay,1996-06-30,90,Half
none,None,None,Winning,No location,Uruguay,1996-07-02,90,No Moon
none,None,None,Winning,No location,Uruguay,1996-07-07,90,No Moon
none,None,None,Winning,No location,Uruguay,1996-07-07,90,Half
bite,Yellow card,defender,Losing,his team penalty area,Uruguay,1996-07-08,9,Full
none,None,None,Winning,No location,Uruguay,1996-07-09,90,Full
kick in the butt,Yellow card,spectator,Winning,off field,Uruguay,1996-07-12,8,Half
headbutt,Red Card,forward,Losing,midfield,Uruguay,1996-07-13,39,No Moon
scratch,Suspended for several games,spectator,Losing,off field,Uruguay,1996-07-15,44,No Moon
spit in the face,yellow card,spectator,Winning,off field,Uruguay,1996-07-19,59,No Moon
scratch,Not Caught,None,Winning,midfield,Uruguay,1996-07-26,57,Full
bite,Not Caught,forward,Losing,midfield,Uruguay,1996-08-03,87,Half
scratch,Red Card,None,Losing,his team penalty area,Uruguay,1996-08-09,81,No Moon
scratch,Not Caught,forward,Losing,midfield,Uruguay,1996-08-11,45,No Moon
finger in the eye,None,midfielder,Draw at a time,off field,Uruguay,1996-08-12,9,No Moon
scratch,Yellow card,journalist,Draw at a time,off field,Uruguay,1996-08-15,80,Full
headbutt,Red Card,midfielder,Winning,midfield,Uruguay,1996-08-19,18,No Moon
finger in the eye,Yellow card,journalist,Draw at a time,off field,Uruguay,1996-08-22,50,Full
finger in the eye,Yellow card,journalist,Draw at a time,off field,Uruguay,1996-08-28,8,Full
scratch,Suspended for several games,defender,Losing,off field,Uruguay,1996-08-30,23,Half
headbutt,Not Caught,referee,Draw at a time,his team penalty area,Uruguay,1996-08-30,81,No Moon
kick in the butt,Suspended for several games,journalist,Losing,off field,Uruguay,1996-09-03,31,Full
spit in the face,yellow card,referee,Winning,opponent team penalty area,Uruguay,1996-09-04,23,Full
none,None,None,Winning,No location,Uruguay,1996-09-07,90,Full
none,None,None,Winning,No location,Uruguay,1996-09-13,90,Full
bite,Red Card,midfielder,Winning,his team penalty area,Uruguay,1996-09-15,81,Half
none,None,None,Winning,No location,Uruguay,1996-09-26,90,Full
spit in the face,yellow card,referee,Winning,midfield,Uruguay,1996-09-29,22,No Moon
kick in the butt,Red Card,midfielder,Winning,his team penalty area,Uruguay,1996-10-09,38,Half
bite,Red Card,spectator,Draw at a time,off field,Uruguay,1996-10-12,30,Full
none,None,None,Winning,No location,Uruguay,1996-10-13,90,No Moon
finger in the eye,Red Card,midfielder,Winning,his team penalty area,Uruguay,1996-10-15,46,Full
spit in the face,yellow card,defender,Winning,opponent team penalty area,Uruguay,1996-10-22,24,No Moon
bite,Suspended for several games,referee,Draw at a time,midfield,Uruguay,1996-10-22,12,No Moon
finger in the eye,Yellow card,journalist,Losing,off field,Uruguay,1996-10-23,35,Full
bite,None,defender,Winning,opponent team penalty area,Uruguay,1996-11-01,81,Full
none,None,None,Winning,No location,Uruguay,1996-11-10,90,Half
none,None,None,Winning,No location,Uruguay,1996-11-11,90,Half
bite,Yellow card,journalist,Losing,off field,Uruguay,1996-11-12,82,Full
none,None,None,Winning,No location,Uruguay,1996-11-13,90,No Moon
kick in the butt,None,journalist,Losing,off field,Uruguay,1996-11-14,8,No Moon
headbutt,None,defender,Draw at a time,his team penalty area,Uruguay,1996-11-15,48,No Moon
none,None,None,Winning,No location,Uruguay,1996-11-21,90,Full
bite,None,spectator,Winning,off field,Uruguay,1996-12-07,41,Full
headbutt,Suspended for several games,spectator,Winning,off field,Uruguay,1996-12-09,0,No Moon
bite,Red Card,goalkeeper,Winning,his team penalty area,Uruguay,1996-12-10,65,No Moon
bite,Yellow card,goalkeeper,Draw at a time,opponent team penalty area,Uruguay,1996-12-20,54,No Moon
finger in the eye,Yellow card,journalist,Draw at a time,off field,Uruguay,1996-12-24,36,Full
finger in the eye,Suspended for several games,forward,Losing,opponent team penalty area,Uruguay,1997-01-01,59,No Moon
none,None,None,Winning,No location,Uruguay,1997-01-03,90,No Moon
scratch,Suspended for several games,midfielder,Losing,opponent team penalty area,Uruguay,1997-01-06,30,Half
finger in the eye,Red Card,forward,Draw at a time,midfield,Uruguay,1997-01-17,35,Full
kick in the butt,Suspended for several games,journalist,Draw at a time,off field,Uruguay,1997-01-19,45,Half
finger in the eye,Red Card,goalkeeper,Draw at a time,opponent team penalty area,Uruguay,1997-01-26,15,No Moon
finger in the eye,Not Caught,forward,Losing,off field,Uruguay,1997-01-27,21,Full
none,None,None,Winning,No location,Uruguay,1997-01-31,90,Half
finger in the eye,Yellow card,defender,Losing,opponent team penalty area,Uruguay,1997-02-02,63,No Moon
none,None,None,Winning,No location,Uruguay,1997-02-06,90,Full
scratch,Not Caught,midfielder,Losing,his team penalty area,Uruguay,1997-02-08,38,Full
kick in the butt,Yellow card,None,Losing,his team penalty area,Uruguay,1997-02-09,1,No Moon
spit in the face,yellow card,defender,Losing,midfield,Uruguay,1997-02-12,85,Half
scratch,Not Caught,journalist,Draw at a time,off field,Uruguay,1997-02-18,19,Full
kick in the butt,Red Card,spectator,Winning,off field,Uruguay,1997-02-28,55,Half
none,None,None,Winning,No location,Uruguay,1997-03-04,90,Full
bite,Suspended for several games,referee,Winning,opponent team penalty area,Uruguay,1997-03-05,85,Half
kick in the butt,Not Caught,midfielder,Draw at a time,off field,Uruguay,1997-03-08,73,No Moon
none,None,None,Winning,No location,Uruguay,1997-03-16,90,Full
scratch,Yellow card,midfielder,Losing,opponent team penalty area,Uruguay,1997-03-18,44,Full
none,None,None,Winning,No location,Uruguay,1997-03-29,90,Full
scratch,Suspended for several games,journalist,Draw at a time,off field,Uruguay,1997-03-31,62,Full
scratch,Red Card,journalist,Losing,off field,Uruguay,1997-04-02,56,Half
bite,Suspended for several games,referee,Draw at a time,opponent team penalty area,Uruguay,1997-04-04,9,Full
headbutt,Not Caught,goalkeeper,Winning,midfield,Uruguay,1997-04-06,54,Half
scratch,None,referee,Losing,off field,Uruguay,1997-04-08,86,Half
finger in the eye,Suspended for several games,forward,Winning,his team penalty area,Uruguay,1997-04-18,45,Half
kick in the butt,Yellow card,referee,Winning,his team penalty area,Uruguay,1997-04-19,3,Half
none,None,None,Winning,No location,Uruguay,1997-04-23,90,Full
finger in the eye,Suspended for several games,None,Draw at a time,off field,Uruguay,1997-04-28,0,No Moon
spit in the face,yellow card,spectator,Winning,off field,Uruguay,1997-05-12,15,Half
spit in the face,yellow card,referee,Winning,opponent team penalty area,Uruguay,1997-05-13,14,Half
spit in the face,yellow card,midfielder,Winning,his team penalty area,Uruguay,1997-05-15,78,No Moon
bite,Suspended for several games,referee,Losing,his team penalty area,Uruguay,1997-05-25,11,No Moon
bite,Suspended for several games,goalkeeper,Winning,off field,Uruguay,1997-06-02,12,No Moon
bite,Not Caught,defender,Losing,off field,Uruguay,1997-06-04,33,Full
spit in the face,yellow card,forward,Losing,off field,Uruguay,1997-06-06,34,Half
scratch,Suspended for several games,referee,Draw at a time,opponent team penalty area,Uruguay,1997-06-13,24,No Moon
finger in the eye,Suspended for several games,forward,Winning,his team penalty area,Uruguay,1997-06-25,62,Full
headbutt,Suspended for several games,forward,Winning,opponent team penalty area,Uruguay,1997-07-06,74,Half
none,None,None,Winning,No location,Uruguay,1997-07-08,90,Full
bite,Yellow card,None,Losing,midfield,Uruguay,1997-07-08,86,Full
kick in the butt,Suspended for several games,forward,Winning,opponent team penalty area,Uruguay,1997-07-09,31,Half
finger in the eye,None,forward,Losing,his team penalty area,Uruguay,1997-07-11,7,Half
bite,Not Caught,journalist,Losing,off field,Uruguay,1997-07-11,85,Full
spit in the face,yellow card,goalkeeper,Losing,his team penalty area,Uruguay,1997-07-11,78,No Moon
bite,Yellow card,forward,Losing,off field,Uruguay,1997-07-12,87,Full
headbutt,Not Caught,defender,Draw at a time,midfield,Uruguay,1997-07-19,17,No Moon
scratch,Suspended for several games,defender,Winning,midfield,Uruguay,1997-07-20,77,No Moon
headbutt,Suspended for several games,goalkeeper,Losing,his team penalty area,Uruguay,1997-07-31,2,No Moon
headbutt,Not Caught,forward,Losing,his team penalty area,Uruguay,1997-08-01,55,Half
spit in the face,yellow card,referee,Losing,opponent team penalty area,Uruguay,1997-08-14,32,Half
none,None,None,Winning,No location,Uruguay,1997-08-14,90,No Moon
bite,None,None,Losing,midfield,Uruguay,1997-08-22,32,Full
spit in the face,yellow card,journalist,Winning,off field,Uruguay,1997-08-22,62,Half
none,None,None,Winning,No location,Uruguay,1997-09-07,90,Half
kick in the butt,None,goalkeeper,Winning,off field,Uruguay,1997-09-07,57,No Moon
kick in the butt,Not Caught,forward,Losing,midfield,Uruguay,1997-09-09,49,Half
kick in the butt,Suspended for several games,journalist,Winning,off field,Uruguay,1997-09-13,44,Half
none,None,None,Winning,No location,Uruguay,1997-09-14,90,Full
finger in the eye,Red Card,midfielder,Winning,off field,Uruguay,1997-09-14,42,No Moon
kick in the butt,Yellow card,goalkeeper,Draw at a time,midfield,Uruguay,1997-09-25,68,Full
finger in the eye,Suspended for several games,journalist,Winning,off field,Uruguay,1997-09-26,43,No Moon
bite,Not Caught,spectator,Winning,off field,Uruguay,1997-09-27,46,Full
kick in the butt,Red Card,midfielder,Losing,his team penalty area,Uruguay,1997-09-28,28,Full
kick in the butt,Red Card,midfielder,Winning,opponent team penalty area,Uruguay,1997-09-30,75,Full
headbutt,Yellow card,midfielder,Losing,his team penalty area,Uruguay,1997-10-02,58,Half
none,None,None,Winning,No location,Uruguay,1997-10-02,90,Half
bite,Red Card,goalkeeper,Draw at a time,his team penalty area,Uruguay,1997-10-06,77,Full
none,None,None,Winning,No location,Uruguay,1997-10-12,90,Full
none,None,None,Winning,No location,Uruguay,1997-10-13,90,Half
finger in the eye,Red Card,midfielder,Draw at a time,off field,Uruguay,1997-10-16,85,No Moon
bite,Red Card,midfielder,Winning,opponent team penalty area,Uruguay,1997-10-16,52,Half
bite,Suspended for several games,defender,Draw at a time,midfield,Uruguay,1997-10-28,84,Full
scratch,Suspended for several games,spectator,Winning,off field,Uruguay,1997-10-29,78,Full
kick in the butt,Not Caught,spectator,Losing,off field,Uruguay,1997-11-02,52,No Moon
finger in the eye,None,defender,Draw at a time,midfield,Uruguay,1997-11-05,16,Full
none,None,None,Winning,No location,Uruguay,1997-11-14,90,No Moon
bite,Yellow card,referee,Draw at a time,off field,Uruguay,1997-11-18,81,Half
spit in the face,yellow card,forward,Draw at a time,midfield,Uruguay,1997-11-21,50,No Moon
bite,Not Caught,referee,Draw at a time,his team penalty area,Uruguay,1997-11-23,82,No Moon
bite,Yellow card,goalkeeper,Winning,opponent team penalty area,Uruguay,1997-11-24,77,Full
spit in the face,yellow card,spectator,Winning,off field,Uruguay,1997-12-02,62,No Moon
finger in the eye,Suspended for several games,midfielder,Draw at a time,off field,Uruguay,1997-12-03,5,Half
spit in the face,yellow card,forward,Draw at a time,opponent team penalty area,Uruguay,1997-12-11,38,Half
scratch,Suspended for several games,journalist,Losing,off field,Uruguay,1997-12-26,46,Half
kick in the butt,Yellow card,journalist,Draw at a time,off field,Uruguay,1998-01-06,84,Full
none,None,None,Winning,No location,Uruguay,1998-01-07,90,Half
spit in the face,yellow card,midfielder,Winning,his team penalty area,Uruguay,1998-01-16,35,No Moon
kick in the butt,Not Caught,forward,Winning,opponent team penalty area,Uruguay,1998-01-17,57,Full
none,None,None,Winning,No location,Uruguay,1998-01-18,90,Full
none,None,None,Winning,No location,Uruguay,1998-01-22,90,Half
kick in the butt,Not Caught,forward,Draw at a time,off field,Uruguay,1998-01-24,39,No Moon
spit in the face,yellow card,goalkeeper,Winning,off field,Uruguay,1998-01-31,58,Half
none,None,None,Winning,No location,Uruguay,1998-01-31,90,No Moon
scratch,Suspended for several games,spectator,Losing,off field,Uruguay,1998-02-07,23,Full
scratch,Red Card,midfielder,Losing,midfield,Uruguay,1998-02-07,78,Full
kick in the butt,Yellow card,referee,Draw at a time,opponent team penalty area,Uruguay,1998-02-09,19,Half
headbutt,Suspended for several games,goalkeeper,Winning,his team penalty area,Uruguay,1998-02-13,10,Full
scratch,Not Caught,journalist,Draw at a time,off field,Uruguay,1998-02-20,2,No Moon
bite,Not Caught,goalkeeper,Winning,opponent team penalty area,Uruguay,1998-03-02,85,Full
bite,Suspended for several games,journalist,Draw at a time,off field,Uruguay,1998-03-05,4,Full
scratch,Not Caught,spectator,Draw at a time,off field,Uruguay,1998-03-06,76,No Moon
finger in the eye,Yellow card,forward,Losing,midfield,Uruguay,1998-03-08,58,Full
none,None,None,Winning,No location,Uruguay,1998-03-08,90,Full
headbutt,Yellow card,referee,Losing,opponent team penalty area,Uruguay,1998-03-13,32,No Moon
kick in the butt,Suspended for several games,spectator,Losing,off field,Uruguay,1998-04-02,26,Half
scratch,Yellow card,goalkeeper,Winning,his team penalty area,Uruguay,1998-04-05,14,Half
finger in the eye,Suspended for several games,None,Draw at a time,his team penalty area,Uruguay,1998-04-06,61,No Moon
bite,Suspended for several games,defender,Losing,midfield,Uruguay,1998-04-09,80,No Moon
bite,None,referee,Winning,his team penalty area,Uruguay,1998-04-19,81,Full
headbutt,Yellow card,None,Losing,opponent team penalty area,Uruguay,1998-04-22,87,Half
bite,Not Caught,goalkeeper,Winning,off field,Uruguay,1998-05-02,82,Full
scratch,Not Caught,defender,Draw at a time,midfield,Uruguay,1998-05-02,62,Full
none,None,None,Winning,No location,Uruguay,1998-05-02,90,No Moon
bite,Not Caught,goalkeeper,Draw at a time,his team penalty area,Uruguay,1998-05-17,89,Half
finger in the eye,Yellow card,journalist,Losing,off field,Uruguay,1998-05-21,50,Half
scratch,Not Caught,defender,Losing,his team penalty area,Uruguay,1998-05-25,5,No Moon
none,None,None,Winning,No location,Uruguay,1998-05-25,90,Half
none,None,None,Winning,No location,Uruguay,1998-05-29,90,No Moon
none,None,None,Winning,No location,Uruguay,1998-06-01,90,No Moon
bite,Not Caught,spectator,Draw at a time,off field,Uruguay,1998-06-06,47,Full
none,None,None,Winning,No location,Uruguay,1998-06-13,90,Full
finger in the eye,Suspended for several games,referee,Draw at a time,opponent team penalty area,Uruguay,1998-06-14,11,Half
bite,Yellow card,forward,Winning,off field,Uruguay,1998-06-22,88,Half
none,None,None,Winning,No location,Uruguay,1998-07-03,90,Full
none,None,None,Winning,No location,Uruguay,1998-07-14,90,Full
bite,Red Card,referee,Losing,midfield,Uruguay,1998-07-19,88,No Moon
none,None,None,Winning,No location,Uruguay,1998-07-21,90,Full
none,None,None,Winning,No location,Uruguay,1998-07-26,90,Full
kick in the butt,Suspended for several games,referee,Winning,off field,Uruguay,1998-08-07,25,Half
none,None,None,Winning,No location,Uruguay,1998-08-07,90,Full
spit in the face,yellow card,journalist,Losing,off field,Uruguay,1998-08-17,40,Full
finger in the eye,Red Card,forward,Losing,midfield,Uruguay,1998-08-26,65,Half
spit in the face,yellow card,forward,Winning,off field,Uruguay,1998-10-04,73,No Moon
none,None,None,Winning,No location,Uruguay,1998-10-14,90,Full
none,None,None,Winning,No location,Uruguay,1998-10-16,90,Half
scratch,Suspended for several games,goalkeeper,Draw at a time,his team penalty area,Uruguay,1998-10-20,81,Half
none,None,None,Winning,No location,Uruguay,1998-10-20,90,No Moon
kick in the butt,Not Caught,spectator,Winning,off field,Uruguay,1998-10-30,24,No Moon
scratch,Not Caught,defender,Losing,his team penalty area,Uruguay,1998-11-05,11,No Moon
scratch,Not Caught,midfielder,Draw at a time,off field,Uruguay,1998-11-11,81,Full
none,None,None,Winning,No location,Uruguay,1998-11-16,90,Full
none,None,None,Winning,No location,Uruguay,1998-11-18,90,Half
kick in the butt,Suspended for several games,journalist,Losing,off field,Uruguay,1998-11-20,42,Full
scratch,Red Card,forward,Draw at a time,midfield,Uruguay,1998-11-29,89,No Moon
bite,Red Card,journalist,Winning,off field,Uruguay,1998-12-01,89,Full
finger in the eye,Red Card,forward,Losing,his team penalty area,Uruguay,1998-12-07,83,No Moon
finger in the eye,Suspended for several games,goalkeeper,Losing,off field,Uruguay,1998-12-19,37,Full
kick in the butt,None,journalist,Losing,off field,Uruguay,1998-12-20,40,Half
headbutt,Yellow card,midfielder,Winning,his team penalty area,Uruguay,1998-12-20,24,Full
bite,Not Caught,defender,Draw at a time,midfield,Uruguay,1998-12-24,90,No Moon
none,None,None,Winning,No location,Uruguay,1998-12-24,90,No Moon
bite,Yellow card,defender,Draw at a time,midfield,Uruguay,1999-01-03,84,Full
spit in the face,yellow card,midfielder,Draw at a time,midfield,Uruguay,1999-01-03,1,Full
scratch,Yellow card,journalist,Losing,off field,Uruguay,1999-01-07,3,Half
kick in the butt,Suspended for several games,midfielder,Winning,opponent team penalty area,Uruguay,1999-01-13,47,Half
none,None,None,Winning,No location,Uruguay,1999-01-15,90,No Moon
headbutt,None,referee,Losing,midfield,Uruguay,1999-01-20,13,Full
kick in the butt,Yellow card,referee,Draw at a time,midfield,Uruguay,1999-01-24,50,Half
bite,None,journalist,Winning,off field,Uruguay,1999-01-25,84,No Moon
none,None,None,Winning,No location,Uruguay,1999-01-29,90,Full
finger in the eye,Not Caught,forward,Draw at a time,opponent team penalty area,Uruguay,1999-01-31,2,Full
none,None,None,Winning,No location,Uruguay,1999-02-04,90,Full
scratch,Yellow card,referee,Losing,his team penalty area,Uruguay,1999-02-12,70,No Moon
kick in the butt,None,journalist,Winning,off field,Uruguay,1999-02-13,8,No Moon
bite,Yellow card,referee,Winning,midfield,Uruguay,1999-02-15,84,Half
bite,None,defender,Losing,off field,Uruguay,1999-02-19,64,No Moon
none,None,None,Winning,No location,Uruguay,1999-02-26,90,Half
none,None,None,Winning,No location,Uruguay,1999-02-27,90,Half
bite,Red Card,goalkeeper,Losing,opponent team penalty area,Uruguay,1999-02-27,87,Half
none,None,None,Winning,No location,Uruguay,1999-03-05,90,No Moon
headbutt,Red Card,goalkeeper,Draw at a time,his team penalty area,Uruguay,1999-03-12,70,No Moon
bite,Red Card,goalkeeper,Losing,off field,Uruguay,1999-03-14,84,Full
scratch,Yellow card,goalkeeper,Winning,off field,Uruguay,1999-03-15,48,No Moon
none,None,None,Winning,No location,Uruguay,1999-03-22,90,No Moon
scratch,Red Card,journalist,Losing,off field,Uruguay,1999-03-26,90,Full
bite,Red Card,spectator,Winning,off field,Uruguay,1999-03-29,3,Full
kick in the butt,None,referee,Draw at a time,off field,Uruguay,1999-04-02,40,No Moon
none,None,None,Winning,No location,Uruguay,1999-04-04,90,Full
bite,None,referee,Winning,midfield,Uruguay,1999-04-06,81,Full
none,None,None,Winning,No location,Uruguay,1999-04-17,90,Half
finger in the eye,Not Caught,goalkeeper,Losing,opponent team penalty area,Uruguay,1999-04-20,9,Half
bite,Yellow card,spectator,Draw at a time,off field,Uruguay,1999-05-09,81,Half
bite,Red Card,defender,Losing,midfield,Uruguay,1999-05-09,79,Half
kick in the butt,Not Caught,spectator,Winning,off field,Uruguay,1999-05-10,74,Full
bite,Red Card,forward,Winning,his team penalty area,Uruguay,1999-05-13,86,No Moon
bite,Yellow card,goalkeeper,Losing,midfield,Uruguay,1999-05-16,66,Half
bite,Not Caught,None,Losing,midfield,Uruguay,1999-05-16,1,Full
none,None,None,Winning,No location,Uruguay,1999-05-25,90,Full
finger in the eye,Suspended for several games,forward,Winning,midfield,Uruguay,1999-05-26,73,Half
spit in the face,yellow card,journalist,Draw at a time,off field,Uruguay,1999-05-29,31,Half
bite,Suspended for several games,journalist,Winning,off field,Uruguay,1999-06-01,80,Half
none,None,None,Winning,No location,Uruguay,1999-06-02,90,Full
finger in the eye,Yellow card,referee,Losing,midfield,Uruguay,1999-06-03,74,No Moon
bite,None,referee,Losing,off field,Uruguay,1999-06-17,88,No Moon
bite,Suspended for several games,forward,Losing,off field,Uruguay,1999-06-23,11,Full
finger in the eye,Red Card,goalkeeper,Losing,off field,Uruguay,1999-06-24,47,Full
finger in the eye,Yellow card,goalkeeper,Winning,opponent team penalty area,Uruguay,1999-06-27,22,No Moon
bite,Red Card,defender,Losing,off field,Uruguay,1999-06-29,11,Full
none,None,None,Winning,No location,Uruguay,1999-07-02,90,Full
spit in the face,yellow card,None,Draw at a time,midfield,Uruguay,1999-07-04,16,Half
bite,Not Caught,referee,Draw at a time,off field,Uruguay,1999-07-15,83,Full
bite,Red Card,goalkeeper,Winning,off field,Uruguay,1999-07-17,83,No Moon
spit in the face,yellow card,referee,Winning,his team penalty area,Uruguay,1999-07-17,37,No Moon
bite,Suspended for several games,None,Losing,off field,Uruguay,1999-07-22,62,No Moon
bite,Suspended for several games,goalkeeper,Losing,off field,Uruguay,1999-07-25,85,No Moon
none,None,None,Winning,No location,Uruguay,1999-07-28,90,No Moon
headbutt,Suspended for several games,journalist,Draw at a time,off field,Uruguay,1999-07-29,5,No Moon
headbutt,Not Caught,journalist,Losing,off field,Uruguay,1999-08-01,49,Full
kick in the butt,Not Caught,goalkeeper,Losing,opponent team penalty area,Uruguay,1999-08-01,28,Full
none,None,None,Winning,No location,Uruguay,1999-08-02,90,No Moon
bite,Not Caught,journalist,Winning,off field,Uruguay,1999-08-06,90,No Moon
bite,Not Caught,journalist,Losing,off field,Uruguay,1999-08-07,88,No Moon
finger in the eye,Red Card,defender,Losing,off field,Uruguay,1999-08-10,35,Half
bite,Red Card,forward,Losing,midfield,Uruguay,1999-08-11,80,No Moon
finger in the eye,None,referee,Winning,midfield,Uruguay,1999-08-13,59,Half
none,None,None,Winning,No location,Uruguay,1999-08-17,90,Half
none,None,None,Winning,No location,Uruguay,1999-08-18,90,Half
kick in the butt,None,referee,Winning,off field,Uruguay,1999-08-19,10,Full
none,None,None,Winning,No location,Uruguay,1999-08-20,90,Full
scratch,Suspended for several games,spectator,Draw at a time,off field,Uruguay,1999-08-26,45,Half
finger in the eye,Red Card,goalkeeper,Winning,midfield,Uruguay,1999-08-28,25,Full
finger in the eye,Red Card,goalkeeper,Losing,off field,Uruguay,1999-09-01,32,Full
spit in the face,yellow card,defender,Losing,midfield,Uruguay,1999-09-02,4,Full
kick in the butt,Yellow card,referee,Losing,opponent team penalty area,Uruguay,1999-09-03,45,No Moon
none,None,None,Winning,No location,Uruguay,1999-09-05,90,No Moon
bite,Red Card,forward,Losing,midfield,Uruguay,1999-09-05,87,No Moon
bite,Red Card,defender,Draw at a time,midfield,Uruguay,1999-09-11,83,Half
none,None,None,Winning,No location,Uruguay,1999-09-15,90,Full
kick in the butt,Yellow card,forward,Winning,opponent team penalty area,Uruguay,1999-09-16,40,No Moon
spit in the face,yellow card,spectator,Winning,off field,Uruguay,1999-09-20,35,Half
none,None,None,Winning,No location,Uruguay,1999-09-23,90,Full
scratch,Red Card,journalist,Winning,off field,Uruguay,1999-09-23,20,Full
finger in the eye,Suspended for several games,journalist,Winning,off field,Uruguay,1999-09-25,76,No Moon
finger in the eye,Yellow card,defender,Draw at a time,opponent team penalty area,Uruguay,1999-09-29,35,Full
finger in the eye,Yellow card,midfielder,Losing,his team penalty area,Uruguay,1999-10-09,20,Full
bite,Red Card,forward,Losing,opponent team penalty area,Uruguay,1999-10-17,84,No Moon
scratch,Yellow card,defender,Winning,midfield,Uruguay,1999-11-14,89,No Moon
bite,None,spectator,Draw at a time,off field,Uruguay,1999-11-16,71,Half
headbutt,Red Card,midfielder,Losing,opponent team penalty area,Uruguay,1999-11-17,55,Full
none,None,None,Winning,No location,Uruguay,1999-11-29,90,No Moon
bite,None,goalkeeper,Losing,his team penalty area,Uruguay,1999-12-04,87,Full
none,None,None,Winning,No location,Uruguay,1999-12-06,90,Half
headbutt,Not Caught,goalkeeper,Losing,his team penalty area,Uruguay,1999-12-07,13,No Moon
none,None,None,Winning,No location,Uruguay,1999-12-13,90,No Moon
bite,Not Caught,spectator,Draw at a time,off field,Uruguay,1999-12-14,75,Full
finger in the eye,Yellow card,forward,Winning,opponent team penalty area,Uruguay,1999-12-16,88,No Moon
none,None,None,Winning,No location,Uruguay,1999-12-22,90,Full
bite,Suspended for several games,defender,Winning,his team penalty area,Uruguay,2000-01-02,81,No Moon
finger in the eye,Yellow card,forward,Winning,off field,Uruguay,2000-01-03,30,Full
scratch,Not Caught,midfielder,Losing,off field,Uruguay,2000-01-10,23,Half
spit in the face,yellow card,journalist,Draw at a time,off field,Uruguay,2000-01-11,0,Half
spit in the face,yellow card,referee,Losing,opponent team penalty area,Uruguay,2000-01-12,2,Half
none,None,None,Winning,No location,Uruguay,2000-01-20,90,No Moon
bite,Suspended for several games,defender,Winning,midfield,Uruguay,2000-01-23,86,Half
scratch,Yellow card,journalist,Losing,off field,Uruguay,2000-01-29,24,Full
kick in the butt,Suspended for several games,midfielder,Draw at a time,his team penalty area,Uruguay,2000-02-09,42,Full
bite,Red Card,spectator,Losing,off field,Uruguay,2000-02-11,84,No Moon
scratch,Suspended for several games,forward,Winning,opponent team penalty area,Uruguay,2000-02-13,37,Half
spit in the face,yellow card,midfielder,Winning,off field,Uruguay,2000-02-14,1,Half
scratch,Suspended for several games,spectator,Draw at a time,off field,Uruguay,2000-02-19,10,Half
bite,Yellow card,spectator,Losing,off field,Uruguay,2000-02-24,48,No Moon
kick in the butt,Not Caught,None,Losing,opponent team penalty area,Uruguay,2000-02-27,23,Half
kick in the butt,Suspended for several games,journalist,Winning,off field,Uruguay,2000-03-16,25,No Moon
none,None,None,Winning,No location,Uruguay,2000-03-16,90,Full
none,None,None,Winning,No location,Uruguay,2000-03-21,90,Full
bite,Red Card,forward,Draw at a time,off field,Uruguay,2000-03-22,89,No Moon
none,None,None,Winning,No location,Uruguay,2000-03-24,90,Full
none,None,None,Winning,No location,Uruguay,2000-03-24,90,No Moon
bite,Suspended for several games,forward,Losing,his team penalty area,Uruguay,2000-03-25,4,No Moon
spit in the face,yellow card,goalkeeper,Losing,opponent team penalty area,Uruguay,2000-03-29,45,Full
none,None,None,Winning,No location,Uruguay,2000-03-31,90,No Moon
kick in the butt,Suspended for several games,referee,Losing,off field,Uruguay,2000-04-06,53,Full
headbutt,Suspended for several games,forward,Winning,off field,Uruguay,2000-04-27,3,Half
scratch,Yellow card,spectator,Losing,off field,Uruguay,2000-04-28,71,Half
spit in the face,yellow card,journalist,Draw at a time,off field,Uruguay,2000-05-16,8,No Moon
finger in the eye,Red Card,None,Winning,his team penalty area,Uruguay,2000-05-16,41,Half
bite,Red Card,referee,Winning,midfield,Uruguay,2000-05-18,85,Full
bite,Not Caught,journalist,Draw at a time,off field,Uruguay,2000-05-22,16,Half
finger in the eye,Red Card,goalkeeper,Winning,off field,Uruguay,2000-06-01,89,Half
finger in the eye,Not Caught,spectator,Draw at a time,off field,Uruguay,2000-06-07,23,Full
kick in the butt,Suspended for several games,defender,Losing,opponent team penalty area,Uruguay,2000-06-12,24,Full
spit in the face,yellow card,midfielder,Draw at a time,his team penalty area,Uruguay,2000-06-14,72,Full
none,None,None,Winning,No location,Uruguay,2000-06-14,90,Half
